USERID,PERSON_ID_EXTERNAL,STARTDATE,ORIGINALSTARTDATE,ISPRIMARY,SENIORITYDATE,JOBNUMBER,
30002264            ,30002264            ,01/08/2016,01/08/2016,True,,,
30002265            ,30002265            ,26/01/2016,26/01/2016,True,,,
30002266            ,30002266            ,01/03/2017,01/03/2017,True,,,
30002267            ,30002267            ,19/01/2016,19/01/2016,True,,,
30002268            ,30002268            ,16/01/2017,16/01/2017,True,,,
30002269            ,30002269            ,20/01/2016,20/01/2016,True,,,
30002270            ,30002270            ,20/01/2016,20/01/2016,True,,,
30002271            ,30002271            ,20/01/2016,20/01/2016,True,,,
30002272            ,30002272            ,20/01/2016,20/01/2016,True,,,
30002273            ,30002273            ,20/01/2016,20/01/2016,True,,,
30002274            ,30002274            ,19/01/2016,19/01/2016,True,,,
30002275            ,30002275            ,01/04/2016,01/04/2016,True,,,
30002276            ,30002276            ,19/01/2016,19/01/2016,True,,,
30002277            ,30002277            ,19/01/2016,19/01/2016,True,,,
30002278            ,30002278            ,19/01/2016,19/01/2016,True,,,
30002279            ,30002279            ,19/01/2016,19/01/2016,True,,,
30002280            ,30002280            ,19/01/2016,19/01/2016,True,,,
30002281            ,30002281            ,19/01/2016,19/01/2016,True,,,
30002282            ,30002282            ,19/01/2016,19/01/2016,True,,,
30002283            ,30002283            ,04/04/2017,04/04/2017,True,,,
30002284            ,30002284            ,01/04/2017,01/04/2017,True,,,
30002285            ,30002285            ,21/01/2016,21/01/2016,True,,,
30002286            ,30002286            ,20/01/2016,20/01/2016,True,,,
30002287            ,30002287            ,01/02/2016,01/02/2016,True,,,
30002288            ,30002288            ,20/01/2016,20/01/2016,True,,,
30002290            ,30002290            ,16/01/2016,16/01/2016,True,,,
30002291            ,30002291            ,12/01/2016,12/01/2016,True,,,
30002292            ,30002292            ,12/01/2016,12/01/2016,True,,,
30002293            ,30002293            ,12/01/2016,12/01/2016,True,,,
30002294            ,30002294            ,12/01/2016,12/01/2016,True,,,
30002295            ,30002295            ,12/01/2016,12/01/2016,True,,,
30002296            ,30002296            ,12/01/2016,12/01/2016,True,,,
30002297            ,30002297            ,12/01/2016,12/01/2016,True,,,
30002298            ,30002298            ,12/01/2016,12/01/2016,True,,,
30002299            ,30002299            ,12/01/2016,12/01/2016,True,,,
30002300            ,30002300            ,12/01/2016,12/01/2016,True,,,
30002301            ,30002301            ,01/04/2017,01/04/2017,True,,,
30002302            ,30002302            ,06/01/2016,06/01/2016,True,,,
30002303            ,30002303            ,01/08/2017,01/08/2017,True,,,
30002304            ,30002304            ,01/02/2016,01/02/2016,True,,,
30002305            ,30002305            ,06/01/2016,06/01/2016,True,,,
30002306            ,30002306            ,06/01/2016,06/01/2016,True,,,
30002307            ,30002307            ,06/01/2016,06/01/2016,True,,,
30002308            ,30002308            ,01/02/2016,01/02/2016,True,,,
30002309            ,30002309            ,01/02/2016,01/02/2016,True,,,
30002310            ,30002310            ,30/12/2015,30/12/2015,True,,,
30002311            ,30002311            ,30/12/2015,30/12/2015,True,,,
30002312            ,30002312            ,30/12/2015,30/12/2015,True,,,
30002313            ,30002313            ,30/12/2015,30/12/2015,True,,,
30002314            ,30002314            ,01/08/2016,01/08/2016,True,,,
30002315            ,30002315            ,05/01/2016,05/01/2016,True,,,
30002316            ,30002316            ,01/07/2016,01/07/2016,True,,,
30002317            ,30002317            ,01/10/2016,01/10/2016,True,,,
30002318            ,30002318            ,01/01/2016,01/01/2016,True,,,
30002319            ,30002319            ,26/12/2015,26/12/2015,True,,,
30002320            ,30002320            ,01/03/2016,01/03/2016,True,,,
30002321            ,30002321            ,30/12/2015,30/12/2015,True,,,
30002322            ,30002322            ,30/12/2015,30/12/2015,True,,,
30002323            ,30002323            ,30/12/2015,30/12/2015,True,,,
30002324            ,30002324            ,30/12/2015,30/12/2015,True,,,
30002325            ,30002325            ,01/08/2016,01/08/2016,True,,,
30002326            ,30002326            ,24/12/2015,24/12/2015,True,,,
30002327            ,30002327            ,24/12/2015,24/12/2015,True,,,
30002328            ,30002328            ,22/12/2015,22/12/2015,True,,,
30002329            ,30002329            ,22/12/2015,22/12/2015,True,,,
30002330            ,30002330            ,22/12/2015,22/12/2015,True,,,
30002331            ,30002331            ,22/12/2015,22/12/2015,True,,,
30002332            ,30002332            ,22/12/2015,22/12/2015,True,,,
30002333            ,30002333            ,21/12/2015,21/12/2015,True,,,
30002334            ,30002334            ,21/12/2015,21/12/2015,True,,,
30002335            ,30002335            ,21/12/2015,21/12/2015,True,,,
30002336            ,30002336            ,12/12/2015,12/12/2015,True,,,
30002337            ,30002337            ,21/12/2015,21/12/2015,True,,,
30002338            ,30002338            ,16/12/2015,16/12/2015,True,,,
30002339            ,30002339            ,16/12/2015,16/12/2015,True,,,
30002340            ,30002340            ,16/12/2015,16/12/2015,True,,,
30002341            ,30002341            ,16/12/2015,16/12/2015,True,,,
30002342            ,30002342            ,16/12/2015,16/12/2015,True,,,
30002343            ,30002343            ,16/12/2015,16/12/2015,True,,,
30002344            ,30002344            ,16/12/2015,16/12/2015,True,,,
30002345            ,30002345            ,15/12/2015,15/12/2015,True,,,
30002346            ,30002346            ,18/12/2015,18/12/2015,True,,,
30002347            ,30002347            ,14/12/2015,14/12/2015,True,,,
30002348            ,30002348            ,10/12/2015,10/12/2015,True,,,
30002349            ,30002349            ,10/12/2015,10/12/2015,True,,,
30002350            ,30002350            ,10/12/2015,10/12/2015,True,,,
30002351            ,30002351            ,09/12/2015,09/12/2015,True,,,
30002352            ,30002352            ,09/12/2015,09/12/2015,True,,,
30002353            ,30002353            ,27/11/2015,27/11/2015,True,,,
30002354            ,30002354            ,24/11/2015,24/11/2015,True,,,
30002355            ,30002355            ,01/12/2015,01/12/2015,True,,,
30002356            ,30002356            ,01/12/2015,01/12/2015,True,,,
